code,industry,concepts,industry_rank,industry_change_pct,industry_heat_score,concept_heat_score,board_heat_score,board_heat_latest_score,board_heat_trend_score,board_heat_persistence_score,board_heat_cooling_score,board_heat_observations,board_heat_summary,board_heat_state
000001,银行,深圳特区|跨境支付|区块链|互联网金融,,,,,,,,,,,,
000002,房地产开发,养老概念|租售同权|深圳特区|REITs概念|超级品牌|智能家居|装配建筑,,,,,,,,,,,,
000006,房地产开发,深圳特区|央国企改革|粤港自贸,,,,,,,,,,,,
000007,汽车,深圳特区,,,,,,,,,,,,
000008,铁路设备,铁路基建|职业教育|交运设备|央国企改革|一带一路,,,,,,,,,,,,
000009,综合,高压快充|创投|土地流转|锂电池概念|储能概念|华为概念|新能源|固态电池|充电桩|超级电容|深圳特区|北交所概念|军工|黄金概念|电池技术|氢能源,,,,,,,,,,,,
000010,基础建设,深圳特区|参股期货|PPP模式|新型城镇化|工程建设,,,,,,,,,,,,
000011,房地产开发,深圳特区|租售同权|央国企改革|粤港自贸,,,,,,,,,,,,
000012,玻璃,建筑节能|新能源|粤港自贸|军工|雄安新区|光伏概念|一带一路|深圳特区|特斯拉概念,,,,,,,,,,,,
000014,房地产开发,粤港自贸|央国企改革|深圳特区,,,,,,,,,,,,
000016,消费电子设备,国产芯片|创投|PPP模式|第三代半导体|央国企改革|智能家居|超清视频|氮化镓|存储芯片|华为海思|半导体概念|深圳特区|MicroLED|PCB|MiniLED|IPv6,,,,,,,,,,,,
000017,珠宝首饰,新零售|黄金概念|深圳特区,,,,,,,,,,,,
000019,贸易,央国企改革|调味品概念|深圳特区|粮食概念|预制菜概念,,,,,,,,,,,,
000020,电子器件,深圳特区,,,,,,,,,,,,
000021,计算机硬件,区块链|智能电网|第三代半导体|存储芯片|电网概念|半导体概念|超级电容|物联网|储能概念|医疗器械概念|新能源车|先进封装|国产芯片|央国企改革|无人机|深圳特区,,,,,,,,,,,,
000025,珠宝首饰,深圳特区|黄金概念|央国企改革,,,,,,,,,,,,
000026,珠宝首饰,商业航天|电商概念|减速器|央国企改革|深圳特区|智能穿戴|消费电子概念,,,,,,,,,,,,
000027,电力,创投|IPO受益|新能源|节能环保|油气资源|风能|天然气|氢能源|独角兽|PPP模式|深圳特区|虚拟电厂|参股券商|光伏概念|充电桩|超超临界发电|央国企改革|垃圾分类|绿色电力|碳交易,,,,,,,,,,,,
000028,医药商业,央国企改革|单抗概念|SPD概念|深圳特区|创新医疗服务|冷链物流|互联网医疗,,,,,,,,,,,,
000029,房地产开发,央国企改革|粤港自贸|深圳特区,,,,,,,,,,,,
000030,汽车,小米概念|小米汽车|车联网(车路云)|参股保险|汽车热管理|换电概念|央国企改革|低空经济|华为汽车|飞行汽车(eVTOL)|新能源车,,,,,,,,,,,,
000031,房地产开发,央国企改革|深圳特区|首发经济,,,,,,,,,,,,
000032,建筑施工,安防概念|铁路基建|算力概念|智慧城市|智谱AI概念|低空经济|央国企改革|数字孪生|云计算|数据要素|大数据|半导体概念|深圳特区|AI智能体|工程建设|航天航空|一带一路|多模态AI|元宇宙概念|数据中心|信创|国资云概念|DeepSeek概念,,,,,,,,,,,,
000034,计算机软件,人工智能|智谱AI概念|信创|DeepSeek概念|网络安全|华为概念|云计算|存储芯片|机器人概念|区块链|数据中心|液冷服务器|英伟达概念|智能驾驶|边缘计算|腾讯云|ChatGPT概念|深圳特区|物联网|AI应用|华为昇腾|数字经济|华为海思|阿里概念,,,,,,,,,,,,
000035,环保,储能概念|垃圾分类|一带一路|机器人概念|医废处理|人工智能|生物质能发电|新能源|PPP模式|绿色电力|节能环保|氢能源,,,,,,,,,,,,
000036,房地产开发,深圳特区,,,,,,,,,,,,
000037,电力,核能核电|一带一路|储能概念|深圳特区,,,,,,,,,,,,
000039,其他交运设备,商业航天|风能|物联网|装配建筑|粤港自贸|参股银行|冷链物流|天然气|一带一路|数据中心|海工装备|氢能源|可燃冰|参股券商|深圳特区|油气资源|雄安新区|海洋经济,,,,,,,,,,,,
000042,房地产开发,深圳特区,,,,,,,,,,,,
000045,电子器件,显示技术|深圳特区|OLED|虚拟现实|央国企改革|超清视频,,,,,,,,,,,,
000048,畜牧业,谷子经济|乡村振兴|猪肉概念|深圳特区|机器人概念,,,,,,,,,,,,
000049,电源设备,无线充电|5G概念|消费电子概念|固态电池|荣耀概念|锂电池概念|AI眼镜|深圳特区|钠离子电池|新能源车|华为概念|储能概念|电池技术|新能源|智能穿戴|先进封装|苹果概念|小米概念|物联网|通信技术,,,,,,,,,,,,
000050,电子器件,OLED|全息技术|智能穿戴|MicroLED|屏下摄像|消费电子概念|虚拟现实|MiniLED|新能源车|智能家居|超清视频|电子纸概念|苹果概念|裸眼3D|国产芯片|柔性屏(折叠屏)|显示技术|央国企改革|华为概念|小米概念|深圳特区,,,,,,,,,,,,
000055,其他建材,深圳特区|土地流转|光伏概念|房屋检测|新能源|乡村振兴|绿色电力|建筑节能|新材料|一带一路|装配建筑,,,,,,,,,,,,
000056,商业物业经营,参股保险|半导体概念|租售同权|深圳特区|国产芯片|IGBT概念,,,,,,,,,,,,
000058,商业物业经营,光伏概念|华为概念|深圳特区|央国企改革|商业航天,,,,,,,,,,,,
000059,石油天然气,央国企改革|东北振兴|化工原料,,,,,,,,,,,,
000060,基本金属,新材料|稀缺资源|深圳特区|参股期货|央国企改革|黄金概念|PCB|小金属概念,,,,,,,,,,,,
000061,商业物业经营,网红经济|参股银行|新零售|区块链|央国企改革|深圳特区|生态农业|食品安全|电商概念,,,,,,,,,,,,
000062,电子元件,新能源车|半导体概念|MLCC|第三代半导体|华为概念|深圳特区|互联网金融|创投|华为昇腾|华为海思|电商概念,,,,,,,,,,,,
000063,通信设备,卫星互联网|智能穿戴|信创|人工智能|智慧城市|AI手机|网络安全|IPv6|云计算|物联网|消费电子概念|在线教育|无线充电|深圳特区|数据中心|屏下摄像|通信技术|超清视频|量子科技|光纤概念|液冷服务器|低空经济|工业互联网|算力概念|6G概念|国产芯片|无线耳机|5G概念|边缘计算,,,,,,,,,,,,
000065,建筑施工,工程建设|一带一路|绿色电力|风能|水利建设|新能源|央国企改革|超超临界发电|贬值受益|光伏概念,,,,,,,,,,,,
000066,计算机硬件,深圳特区|液冷服务器|商业航天|军工|参股券商|5G概念|数据中心|锂电池概念|数字经济|网络安全|华为概念|量子科技|通信技术|区块链|国产芯片|充电桩|大数据|互联网医疗|信创|央国企改革|海工装备|卫星导航|钠离子电池|军民融合|数据安全|电池技术,,,,,,,,,,,,
000068,贸易,石墨烯|创投|海绵城市|节能环保|电池技术|PPP模式|央国企改革|深圳特区|锂电池概念,,,,,,,,,,,,
000069,休闲服务,冰雪经济|深圳特区|电商概念|旅游概念|婴童概念|央国企改革,,,,,,,,,,,,
000070,通信设备,央国企改革|5G概念|深圳特区|光纤概念|国资云概念|智能电网|无人机|抖音概念(字节概念)|东数西算|智慧城市|F5G概念|通信技术|军工|特高压|核能核电|数据中心|大数据|人工智能|华为概念|CPO概念|电网概念,,,,,,,,,,,,
000078,医药商业,创新药|冷链物流|中药概念|医疗器械概念|深圳特区|病毒防治,,,,,,,,,,,,
000088,港口航运,一带一路|深圳特区|粤港自贸|冷链物流|央国企改革,,,,,,,,,,,,
000089,航空机场,创投|深圳特区|低空经济|央国企改革|粤港自贸,,,,,,,,,,,,
000090,房地产开发,租售同权|深圳特区|粤港自贸|智慧城市|新型城镇化|工程建设|机器人概念|数字孪生|光伏概念|人工智能|央国企改革|装配建筑,,,,,,,,,,,,
000096,石油天然气,深圳特区|央国企改革|粤港自贸,,,,,,,,,,,,
000099,航空机场,央国企改革|低空经济|华为概念|航母概念|军工|深圳特区|粤港自贸|通用航空|无人机|风能|飞行汽车(eVTOL),,,,,,,,,,,,
000100,电子元件,MiniLED|显示技术|绿色电力|虚拟现实|人工智能|华为概念|工业互联网|OLED|电子纸概念|光伏概念|小米概念|参股银行|AI芯片|玻璃基板|MicroLED|屏下摄像|柔性屏(折叠屏)|AI眼镜|半导体概念,,,,,,,,,,,,
000151,贸易,贬值受益|中俄贸易概念|核能核电|央国企改革|一带一路|虚拟电厂|新材料,,,,,,,,,,,,
000153,化学制药,参股银行|肝素概念|流感|中药概念,,,,,,,,,,,,
000155,电力,锂电池概念|电池技术|绿色电力|西部大开发|风能|锂矿概念|央国企改革|光伏概念|成渝特区|新能源|节能环保|储能概念,,,,,,,,,,,,
000156,广播电视,大数据|长江三角|独角兽|阿里概念|文娱消费|DeepSeek概念|央国企改革|蚂蚁金服概念|AIGC概念|智能电视|华为概念|超清视频|物联网|数字经济|智慧城市|智慧政务|虚拟现实|影视概念,,,,,,,,,,,,
000157,专用设备,人工智能|参股银行|乡村振兴|人形机器人|雅下水电概念|算力概念|工业互联网|一带一路|工程机械概念|节能环保,,,,,,,,,,,,
000158,计算机软件,云计算|智谱AI概念|国资云概念|央国企改革|网络安全|区块链|大数据|京津冀|国产软件|鸿蒙概念|华为概念|数据中心|信创|智慧城市|车联网(车路云)|创投|AI应用|人工智能|雄安新区|百度概念|华为昇腾|参股银行|冷链物流|工业互联网,,,,,,,,,,,,
000159,石油天然气,西部大开发|一带一路|特高压|光伏概念,,,,,,,,,,,,
000166,非银行金融,券商概念|科创板做市商|西部大开发|参股期货|央国企改革|互联网金融,,,,,,,,,,,,
000301,石油天然气,参股银行|长江三角|环氧丙烷|光伏概念|创投|化工原料,,,,,,,,,,,,
000333,白色家电,数据中心|鸿蒙概念|超级品牌|智能家居|人形机器人|参股银行|工业互联网|净水概念|国产芯片|新能源车|物联网|空气能热泵|医疗器械概念|液冷服务器,,,,,,,,,,,,
